@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute varObjetivo numeric

@data
-0.984749,0.2,-0.965069
-0.984358,0.3,-0.948402
-0.983991,0.4,-0.935991
-0.983942,0.5,-0.914299
-0.983073,0.6,-0.891177
-0.98138,0.7,-0.78742
-0.981785,0.8,-0.697289
-0.981358,0.9,-0.861498
-0.97683,-1,-0.720504
-0.990108,-0.9,-0.936805
-0.990447,-0.8,-0.919121
-0.987427,-0.7,-0.986332
-0.986249,-0.6,-0.916029
-0.984759,-0.5,-0.995299
-0.985226,-0.4,-0.998366
-0.983858,-0.3,-0.983541
-0.984631,-0.2,-0.996341
-0.983354,-0.1,-0.992952
-0.983041,0,-0.982402
-0.982421,0.1,-0.971956
-0.982053,0.2,-0.961917
-0.981101,0.3,-0.928304
-0.980701,0.4,-0.929101
-0.980703,0.5,-0.915091
-0.979867,0.6,-0.884653
-0.978956,0.7,-0.85834
-0.977756,0.8,-0.616012
-0.977172,0.9,-0.792669
-0.971684,-1,-0.98206
-0.986966,-0.9,-0.98136
-0.987767,-0.8,-0.904359
-0.984476,-0.7,-0.981712
-0.984084,-0.6,-0.981772
-0.981731,-0.5,-0.979733
-0.982013,-0.4,-0.998478
-0.981387,-0.3,-0.998241
-0.981081,-0.2,-0.99438
-0.97981,-0.1,-0.996222
-0.97942,0,-0.979616
-0.979377,0.1,-0.95861
-0.979373,0.2,-0.931647
-0.978422,0.3,-0.94099
-0.977582,0.4,-0.895825
-0.976247,0.5,-0.885105
-0.975841,0.6,-0.886049
-0.97604,0.7,-0.859245
-0.975322,0.8,-0.655101
-0.974429,0.9,-0.70058
-0.968161,-1,-0.987127
-0.985354,-0.9,-0.967231
-0.98386,-0.8,-0.971433
-0.982299,-0.7,-0.985728
-0.981115,-0.6,-0.931816
-0.979694,-0.5,-0.997022
-0.979083,-0.4,-0.993881
-0.978473,-0.3,-0.997337
-0.978062,-0.2,-0.992836
-0.977294,-0.1,-0.992693
-0.976278,0,-0.97636
-0.975218,0.1,-0.954132
-0.975577,0.2,-0.95289
-0.97482,0.3,-0.935744
-0.974743,0.4,-0.841815
-0.97389,0.5,-0.786992
-0.972918,0.6,-0.872758
-0.972397,0.7,-0.843174
-0.969575,0.8,-0.819561
-0.968845,0.9,-0.795876
-0.963373,-1,-0.832195
-0.982325,-0.9,-0.965981
-0.979827,-0.8,-0.695285
-0.978922,-0.7,-0.974747
-0.977254,-0.6,-0.994717
-0.975903,-0.5,-0.969327
-0.974701,-0.4,-0.998654
-0.974979,-0.3,-0.998513
-0.974102,-0.2,-0.990396
-0.973221,-0.1,-0.990774
-0.973122,0,-0.973164
-0.972337,0.1,-0.959674
-0.971541,0.2,-0.92492
-0.970958,0.3,-0.9258
-0.970898,0.4,-0.908354
-0.970388,0.5,-0.884499
-0.968402,0.6,-0.76774
-0.967456,0.7,-0.81954
-0.966324,0.8,-0.795551
-0.966502,0.9,-0.787381
-0.958983,-1,-0.990365
-0.978549,-0.9,-0.848143
-0.977588,-0.8,-0.98518
-0.974418,-0.7,-0.813713
-0.972537,-0.6,-0.99831
-0.972127,-0.5,-0.998948
-0.971951,-0.4,-0.998788
-0.971074,-0.3,-0.997911
-0.96982,-0.2,-0.985888
-0.969099,-0.1,-0.98057
-0.968673,0,-0.969008
-0.967318,0.1,-0.944766
-0.967622,0.2,-0.927746
-0.967491,0.3,-0.930968
-0.966514,0.4,-0.898818
-0.96455,0.5,-0.87422
-0.964656,0.6,-0.840837
-0.962928,0.7,-0.83041
-0.96027,0.8,-0.655536
-0.961007,0.9,-0.820778
-0.951047,-1,-0.989302
-0.973879,-0.9,-0.98025
-0.971803,-0.8,-0.99682
-0.971153,-0.7,-0.993514
-0.970111,-0.6,-0.988736
-0.969395,-0.5,-0.998626
-0.967748,-0.4,-0.998414
-0.965366,-0.3,-0.998216
-0.965627,-0.2,-0.986422
-0.964639,-0.1,-0.979719
-0.963783,0,-0.964638
-0.96365,0.1,-0.949476
-0.963328,0.2,-0.91066
-0.962088,0.3,-0.92123
-0.961835,0.4,-0.813447
-0.960974,0.5,-0.868412
-0.960425,0.6,-0.694024
-0.958978,0.7,-0.82166
-0.957641,0.8,-0.784871
-0.956803,0.9,-0.75456
-0.942166,-1,-0.914408
-0.971621,-0.9,-0.987673
-0.967617,-0.8,-0.927756
-0.966636,-0.7,-0.99583
-0.966384,-0.6,-0.998542
-0.964341,-0.5,-0.996862
-0.963111,-0.4,-0.99829
-0.961934,-0.3,-0.992123
-0.960477,-0.2,-0.984786
-0.960387,-0.1,-0.97278
-0.95948,0,-0.959194
-0.959115,0.1,-0.945194
-0.958279,0.2,-0.933312
-0.957612,0.3,-0.845388
-0.956697,0.4,-0.825203
-0.956359,0.5,-0.702472
-0.954667,0.6,-0.83198
-0.954504,0.7,-0.599234
-0.953447,0.8,-0.603279
