@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute controlVar3 numeric
@attribute varObjetivo numeric

@data
0,-0.946016,0.2,-0.2,-0.963676
0,-0.953577,0.2,0,-0.953397
0,-0.939606,0.2,0.2,-0.932673
0,-0.934163,0.2,0.4,-0.922814
0,-0.928732,0.2,0.6,-0.913879
0,-0.926963,0.2,0.8,-0.90746
0,-0.919811,0.2,1,-0.753919
0,-0.834736,0.4,-1,-0.948147
0,-0.993206,0.4,-0.8,-0.999482
0,-0.970775,0.4,-0.6,-0.984287
0,-0.957336,0.4,-0.4,-0.966312
0,-0.954733,0.4,-0.2,-0.961174
0,-0.948676,0.4,0,-0.948613
0,-0.941356,0.4,0.2,-0.914396
0,-0.922298,0.4,0.4,-0.894227
0,-0.918936,0.4,0.6,-0.887098
0,-0.915537,0.4,0.8,-0.884477
0,-0.913195,0.4,1,-0.873346
0,-0.907755,0.6,-1,-0.944229
0,-0.975929,0.6,-0.8,-0.993932
0,-0.970174,0.6,-0.6,-0.970777
0,-0.998089,0.6,-0.4,-0.971197
0,-0.972959,0.6,-0.2,-0.983325
0,-0.953272,0.6,0,-0.953427
0,-0.940257,0.6,0.2,-0.931148
0,-0.927584,0.6,0.4,-0.90916
0,-0.919256,0.6,0.6,-0.891463
0,-0.915685,0.6,0.8,-0.560812
0,-0.726995,0.6,1,-0.44595
0,-0.812693,0.8,-1,-0.90697
0,-0.992844,0.8,-0.8,-0.995413
0,-0.987602,0.8,-0.6,-0.999196
0,-0.969707,0.8,-0.4,-0.986487
0,-0.960349,0.8,-0.2,-0.968184
0,-0.95119,0.8,0,-0.952138
0,-0.939078,0.8,0.2,-0.810708
0,-0.857251,0.8,0.4,-0.71567
0,-0.874006,0.8,0.6,-0.789311
0,-0.887709,0.8,0.8,-0.822733
0,-0.887082,0.8,1,-0.796363
0,-0.872824,1,-1,-0.91982
0,-0.99225,1,-0.8,-0.999781
0,-0.97577,1,-0.6,-0.991668
0,-0.943641,1,-0.4,-0.763137
0,-0.995077,1,-0.2,-0.999887
0,-0.95672,1,0,-0.958239
0,-0.940244,1,0.2,-0.929137
0,-0.927287,1,0.4,-0.904815
0,-0.918295,1,0.6,-0.884453
0,-0.906806,1,0.8,-0.849994
0,-0.897479,1,1,0.58385
0,0,0,-1,0
0,-0.862858,0,-0.8,-0.862889
0,-0.862612,0,-0.6,-0.861459
0,-0.862725,0,-0.4,-0.86125
0,-0.862847,0,-0.2,-0.862598
0,-0.863789,0,0,-0.862294
0,-0.864119,0,0.2,-0.865171
0,-0.866423,0,0.4,-0.867701
0,-0.866636,0,0.6,-0.867009
0,-0.866892,0,0.8,-0.870243
0,-0.8654,0,1,-0.867184
0,-0.865248,0.2,-1,-0.880972
0,-0.882392,0.2,-0.8,-0.895004
0,-0.878727,0.2,-0.6,-0.935088
0,-0.911399,0.2,-0.4,-0.930061
0,-0.884156,0.2,-0.2,-0.891322
0,-0.870524,0.2,0,-0.870753
0,-0.865806,0.2,0.2,-0.861086
0,-0.861625,0.2,0.4,-0.854295
0,-0.854494,0.2,0.6,-0.841762
0,-0.851414,0.2,0.8,-0.832859
0,-0.749546,0.2,1,-0.609947
0,-0.796387,0.4,-1,-0.888298
0,-0.939759,0.4,-0.8,-0.971961
0,-0.912609,0.4,-0.6,-0.938353
0,-0.895021,0.4,-0.4,-0.91229
0,-0.886099,0.4,-0.2,-0.894271
0,-0.875331,0.4,0,-0.876589
0,-0.866676,0.4,0.2,-0.811796
0,-0.828618,0.4,0.4,-0.77147
