@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute varObjetivo numeric

@data
-20,-2.75,12,3.869936
-20,-2.75,12.5,3.907737
-20,-2.75,13,3.571793
-20,-2.75,13.5,3.774662
-20,-2.75,14,4.117557
-20,-2.75,14.5,4.865839
-20,-2.75,15,3.782226
-20,-2.5,5,2.444369
-20,-2.5,5.5,2.169263
-20,-2.5,6,2.117923
-20,-2.5,6.5,3.112786
-20,-2.5,7,4.657244
-20,-2.5,7.5,2.538612
-20,-2.5,8,3.123936
-20,-2.5,8.5,3.323234
-20,-2.5,9,2.893833
-20,-2.5,9.5,3.181315
-20,-2.5,10,3.515727
-20,-2.5,10.5,4.225904
-20,-2.5,11,3.141398
-20,-2.5,11.5,3.425006
-20,-2.5,12,4.00412
-20,-2.5,12.5,3.647376
-20,-2.5,13,5.009053
-20,-2.5,13.5,4.91153
-20,-2.5,14,3.887874
-20,-2.5,14.5,3.690423
-20,-2.5,15,3.812895
-20,-2.25,5,2.795802
-20,-2.25,5.5,2.312551
-20,-2.25,6,3.484132
-20,-2.25,6.5,2.705175
-20,-2.25,7,3.150968
-20,-2.25,7.5,2.916208
-20,-2.25,8,3.254527
-20,-2.25,8.5,3.081277
-20,-2.25,9,2.829582
-20,-2.25,9.5,3.504153
-20,-2.25,10,3.590668
-20,-2.25,10.5,3.000712
-20,-2.25,11,3.197862
-20,-2.25,11.5,3.279434
-20,-2.25,12,4.549809
-20,-2.25,12.5,3.38278
-20,-2.25,13,3.718848
-20,-2.25,13.5,3.669371
-20,-2.25,14,5.381503
-20,-2.25,14.5,4.161268
-20,-2.25,15,4.171206
-20,-2,5,2.323481
-20,-2,5.5,2.72568
-20,-2,6,2.602146
-20,-2,6.5,3.257102
-20,-2,7,3.182382
-20,-2,7.5,2.40644
-20,-2,8,2.866263
-20,-2,8.5,2.713899
-20,-2,9,2.68542
-20,-2,9.5,6.163838
-20,-2,10,3.328967
-20,-2,10.5,3.307989
-20,-2,11,3.2286
-20,-2,11.5,4.615883
-20,-2,12,3.264866
-20,-2,12.5,5.019374
-20,-2,13,3.602157
-20,-2,13.5,3.798691
-20,-2,14,3.590081
-20,-2,14.5,4.410139
-20,-2,15,3.739998
-20,-1.75,5,3.715598
-20,-1.75,5.5,3.814311
-20,-1.75,6,2.836785
-20,-1.75,6.5,2.669763
-20,-1.75,7,2.373205
-20,-1.75,7.5,2.753416
-20,-1.75,8,3.176184
-20,-1.75,8.5,2.787905
-20,-1.75,9,2.731513
-20,-1.75,9.5,2.912857
-20,-1.75,10,3.029406
-20,-1.75,10.5,3.69975
-20,-1.75,11,3.484463
-20,-1.75,11.5,3.624331
-20,-1.75,12,3.562364
-20,-1.75,12.5,3.789007
-20,-1.75,13,4.142382
-20,-1.75,13.5,3.901988
-20,-1.75,14,3.815518
-20,-1.75,14.5,4.12918
-20,-1.75,15,4.977465
-20,-1.5,5,2.39904
-20,-1.5,5.5,3.311048
-20,-1.5,6,2.320197
-20,-1.5,6.5,2.581699
-20,-1.5,7,2.43953
-20,-1.5,7.5,2.851046
-20,-1.5,8,2.561221
-20,-1.5,8.5,5.672555
-20,-1.5,9,3.976178
-20,-1.5,9.5,2.748848
-20,-1.5,10,3.340478
-20,-1.5,10.5,3.430434
-20,-1.5,11,3.817682
-20,-1.5,11.5,3.683126
-20,-1.5,12,4.332593
-20,-1.5,12.5,3.390833
-20,-1.5,13,6.780798
-20,-1.5,13.5,3.962902
-20,-1.5,14,3.48507
-20,-1.5,14.5,3.54327
-20,-1.5,15,4.202408
-20,-1.25,5,1.692105
-20,-1.25,5.5,2.154687
-20,-1.25,6,2.491449
-20,-1.25,6.5,2.678349
-20,-1.25,7,2.302595
-20,-1.25,7.5,3.05598
-20,-1.25,8,4.780276
-20,-1.25,8.5,4.541228
-20,-1.25,9,2.995035
-20,-1.25,9.5,2.737104
-20,-1.25,10,2.848254
-20,-1.25,10.5,6.039772
-20,-1.25,11,3.645864
-20,-1.25,11.5,4.972577
-20,-1.25,12,3.468772
-20,-1.25,12.5,4.284473
-20,-1.25,13,3.356954
-20,-1.25,13.5,3.964413
-20,-1.25,14,4.022563
-20,-1.25,14.5,4.386536
-20,-1.25,15,4.096248
-20,-1,5,2.550329
-20,-1,5.5,2.265286
-20,-1,6,2.068704
-20,-1,6.5,2.098498
-20,-1,7,2.775759
-20,-1,7.5,3.10577
-20,-1,8,2.614486
-20,-1,8.5,3.159528
-20,-1,9,3.192457
-20,-1,9.5,2.946515
-20,-1,10,3.678032
-20,-1,10.5,3.326134
-20,-1,11,4.413731
-20,-1,11.5,3.211255
-20,-1,12,3.157866
-20,-1,12.5,3.452631
-20,-1,13,3.585352
-20,-1,13.5,3.399735
-20,-1,14,4.263644
-20,-1,14.5,4.033415
-20,-1,15,3.938863
-20,-0.75,5,1.543945
-20,-0.75,5.5,1.86877
-20,-0.75,6,2.469046
-20,-0.75,6.5,2.708654
-20,-0.75,7,2.970129
-20,-0.75,7.5,2.56174
-20,-0.75,8,2.864433
-20,-0.75,8.5,2.895741
-20,-0.75,9,2.566432
-20,-0.75,9.5,3.028697
-20,-0.75,10,3.386017
-20,-0.75,10.5,3.00491
-20,-0.75,11,3.193513
-20,-0.75,11.5,3.160743
-20,-0.75,12,3.836969
-20,-0.75,12.5,3.401413
-20,-0.75,13,3.819479
-20,-0.75,13.5,4.015939
-20,-0.75,14,5.436823
-20,-0.75,14.5,4.090045
-20,-0.75,15,3.988338
-20,-0.5,5,2.280391
-20,-0.5,5.5,2.352725
-20,-0.5,6,2.317342
-20,-0.5,6.5,2.951908
-20,-0.5,7,2.796198
-20,-0.5,7.5,2.71801
-20,-0.5,8,2.409825
-20,-0.5,8.5,2.980246
-20,-0.5,9,2.670584
-20,-0.5,9.5,3.280678
-20,-0.5,10,2.904485
-20,-0.5,10.5,4.241598
-20,-0.5,11,3.316397
-20,-0.5,11.5,2.984362
-20,-0.5,12,3.550132
-20,-0.5,12.5,3.575692
-20,-0.5,13,3.368674
-20,-0.5,13.5,3.5281
-20,-0.5,14,3.909211
-20,-0.5,14.5,3.517264
-20,-0.5,15,3.542148
-20,-0.25,5,1.634976
-20,-0.25,5.5,1.805724
-20,-0.25,6,3.847486
-20,-0.25,6.5,2.223984
-20,-0.25,7,2.260761
-20,-0.25,7.5,2.250276
-20,-0.25,8,2.484224
-20,-0.25,8.5,2.76851
-20,-0.25,9,3.893734
-20,-0.25,9.5,3.211198
-20,-0.25,10,4.32265
-20,-0.25,10.5,3.893123
-20,-0.25,11,5.486755
-20,-0.25,11.5,4.048135
-20,-0.25,12,3.212781
-20,-0.25,12.5,3.570528
-20,-0.25,13,4.036786
-20,-0.25,13.5,3.641429
-20,-0.25,14,3.693951
-20,-0.25,14.5,4.025868
-20,-0.25,15,3.524636
-20,0,5,3.659401
-20,0,5.5,2.547008
-20,0,6,2.069819
-20,0,6.5,2.061791
-20,0,7,2.264424
-20,0,7.5,2.714357
-20,0,8,4.060873
-20,0,8.5,2.93839
-20,0,9,3.030855
-20,0,9.5,2.982434
-20,0,10,3.236018
-20,0,10.5,3.280909
-20,0,11,3.143843
-20,0,11.5,3.236768
-20,0,12,3.27933
-20,0,12.5,4.033561
-20,0,13,7.417144
-20,0,13.5,3.723318
-20,0,14,3.322916
-20,0,14.5,3.961123
-20,0,15,3.971762
-20,0.25,5,1.67182
-20,0.25,5.5,1.854736
-20,0.25,6,1.866198
-20,0.25,6.5,2.588177
-20,0.25,7,2.381272
-20,0.25,7.5,2.991944
-20,0.25,8,3.446005
-20,0.25,8.5,3.938841
-20,0.25,9,3.058669
-20,0.25,9.5,2.653134
-20,0.25,10,3.877869
-20,0.25,10.5,3.013651
-20,0.25,11,3.121443
-20,0.25,11.5,3.046421
-20,0.25,12,3.260266
-20,0.25,12.5,3.654144
-20,0.25,13,3.430376
-20,0.25,13.5,3.759201
-20,0.25,14,4.126189
-20,0.25,14.5,4.07092
-20,0.25,15,3.650859
-20,0.5,5,1.409864
-20,0.5,5.5,1.762466
-20,0.5,6,2.090295
-20,0.5,6.5,2.855899
-20,0.5,7,3.460844
-20,0.5,7.5,2.304088
-20,0.5,8,2.390439
-20,0.5,8.5,2.878001
-20,0.5,9,2.432924
-20,0.5,9.5,4.402685
-20,0.5,10,2.938431
-20,0.5,10.5,2.860024
-20,0.5,11,3.240237
-20,0.5,11.5,3.566657
-20,0.5,12,3.856062
-20,0.5,12.5,3.320123
-20,0.5,13,3.101363
-20,0.5,13.5,3.238454
-20,0.5,14,4.671277
-20,0.5,14.5,3.27581
-20,0.5,15,4.009493
-20,0.75,5,1.816236
-20,0.75,5.5,1.715367
-20,0.75,6,2.278851
-20,0.75,6.5,1.971064
-20,0.75,7,3.655397
-20,0.75,7.5,2.599682
-20,0.75,8,2.747932
-20,0.75,8.5,3.605213
-20,0.75,9,3.46546
-20,0.75,9.5,3.231114
-20,0.75,10,3.214179
-20,0.75,10.5,4.618702
-20,0.75,11,3.213504
-20,0.75,11.5,3.728703
-20,0.75,12,5.335476
-20,0.75,12.5,3.920347
-20,0.75,13,5.378168
-20,0.75,13.5,3.889744
-20,0.75,14,3.397289
-20,0.75,14.5,3.277981
-20,0.75,15,3.2798
-20,1,5,1.746924
-20,1,5.5,2.54133
-20,1,6,1.776227
-20,1,6.5,2.1295
-20,1,7,2.204942
-20,1,7.5,3.031754
-20,1,8,2.512919
-20,1,8.5,2.299875
-20,1,9,2.958219
-20,1,9.5,4.128151
-20,1,10,3.181859
-20,1,10.5,2.653164
-20,1,11,3.402372
-20,1,11.5,2.820863
-20,1,12,3.689197
-20,1,12.5,6.178407
-20,1,13,4.162123
-20,1,13.5,3.494449
-20,1,14,4.503716
-20,1,14.5,3.219658
-20,1,15,3.546877
-20,1.25,5,1.989778
-20,1.25,5.5,2.384375
-20,1.25,6,3.579633
-20,1.25,6.5,2.480934
-20,1.25,7,2.363312
-20,1.25,7.5,2.980786
-20,1.25,8,2.107616
-20,1.25,8.5,2.715084
-20,1.25,9,4.3459
-20,1.25,9.5,2.685455
-20,1.25,10,2.665921
-20,1.25,10.5,3.064038
-20,1.25,11,3.209092
-20,1.25,11.5,3.374593
-20,1.25,12,3.024355
-20,1.25,12.5,3.152834
-20,1.25,13,4.492692
-20,1.25,13.5,3.905274
-20,1.25,14,3.755948
-20,1.25,14.5,4.7262
-20,1.25,15,4.093877
-20,1.5,5,1.847118
-20,1.5,5.5,1.962134
-20,1.5,6,1.796286
-20,1.5,6.5,1.760285
-20,1.5,7,2.305608
-20,1.5,7.5,2.269082
-20,1.5,8,2.512117
-20,1.5,8.5,2.390677
-20,1.5,9,2.818933
-20,1.5,9.5,2.617593
-20,1.5,10,2.551675
-20,1.5,10.5,3.748056
-20,1.5,11,2.723996
-20,1.5,11.5,3.286227
-20,1.5,12,3.177643
-20,1.5,12.5,3.989165
-20,1.5,13,3.555588
-20,1.5,13.5,3.147417
-20,1.5,14,3.562609
-20,1.5,14.5,4.635697
-20,1.5,15,3.406884
-20,1.75,5,1.70285
-20,1.75,5.5,1.888726
-20,1.75,6,2.680914
-20,1.75,6.5,2.443001
-20,1.75,7,11.670793
-20,1.75,7.5,10.183901
-20,1.75,8,2.809562
-20,1.75,8.5,2.773522
-20,1.75,9,2.618803
-20,1.75,9.5,3.521592
-20,1.75,10,3.428972
-20,1.75,10.5,3.448627
-20,1.75,11,4.483877
-20,1.75,11.5,5.260649
-20,1.75,12,4.533233
-20,1.75,12.5,3.930016
-20,1.75,13,6.25708
-20,1.75,13.5,3.179478
-20,1.75,14,5.938586
-20,1.75,14.5,5.182207
-20,1.75,15,3.862144
-20,2,5,1.219763
-20,2,5.5,1.813421
-20,2,6,1.933842
-20,2,6.5,2.178777
-20,2,7,3.279271
-20,2,7.5,2.195574
-20,2,8,2.137268
-20,2,8.5,3.714529
-20,2,9,2.676706
-20,2,9.5,3.543308
-20,2,10,2.726719
-20,2,10.5,2.623482
-20,2,11,2.943695
-20,2,11.5,2.672377
-20,2,12,3.058607
-20,2,12.5,3.3495
-20,2,13,4.416658
-20,2,13.5,3.233973
-20,2,14,3.057858
-20,2,14.5,3.032272
-20,2,15,3.393781
-20,2.25,5,2.228818
-20,2.25,5.5,3.928701
-20,2.25,6,1.806002
-20,2.25,6.5,1.79233
-20,2.25,7,1.835104
-20,2.25,7.5,1.975453
-20,2.25,8,2.865706
-20,2.25,8.5,3.008069
-20,2.25,9,2.645258
-20,2.25,9.5,2.990433
-20,2.25,10,2.889377
-20,2.25,10.5,3.165565
-20,2.25,11,3.020736
-20,2.25,11.5,2.737054
-20,2.25,12,3.53924
-20,2.25,12.5,5.99719
-20,2.25,13,3.291836
-20,2.25,13.5,3.297202
-20,2.25,14,3.417964
-20,2.25,14.5,5.847674
-20,2.25,15,3.688617
-20,2.5,5,1.584753
-20,2.5,5.5,1.835074
-20,2.5,6,1.68318
-20,2.5,6.5,1.958987
-20,2.5,7,2.168386
-20,2.5,7.5,2.351587
-20,2.5,8,1.92431
-20,2.5,8.5,2.603149
-20,2.5,9,2.539068
-20,2.5,9.5,2.76795
-20,2.5,10,2.306848
-20,2.5,10.5,2.750206
-20,2.5,11,2.770778
-20,2.5,11.5,3.036857
-20,2.5,12,2.685285
-20,2.5,12.5,2.824432
-20,2.5,13,3.595073
-20,2.5,13.5,4.060112
-20,2.5,14,3.495386
-20,2.5,14.5,3.894639
-20,2.5,15,3.237179
-20,2.75,5,2.032075
-20,2.75,5.5,2.499937
-20,2.75,6,2.037066
-20,2.75,6.5,2.232279
-20,2.75,7,2.529736
-20,2.75,7.5,3.302843
-20,2.75,8,2.871227
-20,2.75,8.5,1.976478
-20,2.75,9,2.645641
-20,2.75,9.5,2.547668
-20,2.75,10,3.017148
-20,2.75,10.5,2.603006
-20,2.75,11,3.223137
-20,2.75,11.5,2.459338
-20,2.75,12,2.841494
-20,2.75,12.5,3.655703
-20,2.75,13,3.55554
-20,2.75,13.5,2.871334
-20,2.75,14,3.240337
-20,2.75,14.5,5.5354
-20,2.75,15,3.20046
-20,3,5,1.364074
-20,3,5.5,1.735911
-20,3,6,1.572649
-20,3,6.5,1.810562
-20,3,7,2.290675
-20,3,7.5,1.74959
-20,3,8,2.820645
-20,3,8.5,2.053914
-20,3,9,2.703793
-20,3,9.5,2.349919
-20,3,10,2.520842
-20,3,10.5,2.266971
-20,3,11,3.435021
-20,3,11.5,3.120083
-20,3,12,4.130336
-20,3,12.5,3.031921
-20,3,13,3.577177
-20,3,13.5,2.938781
-20,3,14,3.671024
-20,3,14.5,3.087373
-20,3,15,4.663676
-20,3.25,5,1.270159
-20,3.25,5.5,1.619568
-20,3.25,6,1.725179
-20,3.25,6.5,1.770637
-20,3.25,7,3.552215
-20,3.25,7.5,2.134894
-20,3.25,8,2.567951
-20,3.25,8.5,2.367448
-20,3.25,9,2.821557
-20,3.25,9.5,4.298338
-20,3.25,10,2.919991
-20,3.25,10.5,3.368914
-20,3.25,11,3.060681
-20,3.25,11.5,2.520194
-20,3.25,12,3.18393
-20,3.25,12.5,2.936787
-20,3.25,13,3.357364
-20,3.25,13.5,2.893128
-20,3.25,14,4.359464
-20,3.25,14.5,3.470447
-20,3.25,15,3.451767
-20,3.5,5,1.25788
-20,3.5,5.5,2.41209
-20,3.5,6,2.065793
-20,3.5,6.5,1.518623
-20,3.5,7,2.141222
-20,3.5,7.5,2.391787
-20,3.5,8,2.742068
-20,3.5,8.5,2.688547
-20,3.5,9,1.966128
-20,3.5,9.5,2.231044
-20,3.5,10,2.175359
-20,3.5,10.5,3.113494
-20,3.5,11,2.477195
-20,3.5,11.5,2.469996
-20,3.5,12,3.824429
-20,3.5,12.5,3.328621
-20,3.5,13,2.940216
-20,3.5,13.5,3.249291
-20,3.5,14,3.064342
-20,3.5,14.5,2.846284
-20,3.5,15,3.654119
-20,3.75,5,1.288437
-20,3.75,5.5,2.044549
-20,3.75,6,1.766869
-20,3.75,6.5,2.023678
-20,3.75,7,1.510595
-20,3.75,7.5,1.75761
-20,3.75,8,1.99399
-20,3.75,8.5,2.055961
-20,3.75,9,2.24096
-20,3.75,9.5,2.735898
-20,3.75,10,7.249359
-20,3.75,10.5,2.934234
-20,3.75,11,2.891222
-20,3.75,11.5,3.795262
-20,3.75,12,3.231229
-20,3.75,12.5,2.660347
-20,3.75,13,3.20036
-20,3.75,13.5,2.983239
-20,3.75,14,2.668604
-20,3.75,14.5,4.323114
-20,3.75,15,3.020816
-20,4,5,1.129183
-20,4,5.5,1.232329
-20,4,6,2.017365
-20,4,6.5,2.066822
-20,4,7,2.915809
-20,4,7.5,1.691856
-20,4,8,2.077343
-20,4,8.5,2.197887
-20,4,9,2.269288
-20,4,9.5,2.85539
-20,4,10,2.057878
-20,4,10.5,3.304685
-20,4,11,3.048236
-20,4,11.5,3.041435
-20,4,12,2.474511
-20,4,12.5,2.502377
-20,4,13,3.190588
-20,4,13.5,2.747757
-20,4,14,3.132791
-20,4,14.5,3.410571
-20,4,15,3.327391
-20,4.25,5,5.287376
-20,4.25,5.5,2.158804
-20,4.25,6,1.757961
-20,4.25,6.5,2.169132
-20,4.25,7,1.791507
-20,4.25,7.5,1.615673
-20,4.25,8,1.644234
-20,4.25,8.5,3.44585
-20,4.25,9,2.811356
-20,4.25,9.5,2.928846
-20,4.25,10,2.382637
-20,4.25,10.5,2.053679
-20,4.25,11,2.677652
-20,4.25,11.5,2.922787
