@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute varObjetivo numeric

@data
-0.978913,0.7,0.6,-0.901394
-0.901394,0.7,0.7,-0.89654
-0.89654,0.7,0.8,-0.839086
-0.839086,0.7,0.9,-0.915969
-0.915969,0.8,-1,-0.79991
-0.79991,0.8,-0.9,-0.867706
-0.867706,0.8,-0.8,-0.74372
-0.74372,0.8,-0.7,-0.918216
-0.918216,0.8,-0.6,-0.888175
-0.888175,0.8,-0.5,-0.92829
-0.92829,0.8,-0.4,-0.965416
-0.965416,0.8,-0.3,-0.976506
-0.976506,0.8,-0.2,-0.98777
-0.98777,0.8,-0.1,-0.997684
-0.997684,0.8,0,-0.999955
-0.999955,0.8,0.1,-0.998933
-0.998933,0.8,0.2,-0.988514
-0.988514,0.8,0.3,-0.974869
-0.974869,0.8,0.4,-0.975116
-0.975116,0.8,0.5,-0.970034
-0.970034,0.8,0.6,-0.943924
-0.943924,0.8,0.7,-0.898082
-0.898082,0.8,0.8,-0.903432
-0.903432,0.8,0.9,-0.829859
-0.829859,0.9,-1,-0.866812
-0.866812,0.9,-0.9,-0.648169
-0.648169,0.9,-0.8,-0.843173
-0.843173,0.9,-0.7,-0.912162
-0.912162,0.9,-0.6,-0.929496
-0.929496,0.9,-0.5,-0.959366
-0.959366,0.9,-0.4,-0.96341
-0.96341,0.9,-0.3,-0.973292
-0.973292,0.9,-0.2,-0.988259
-0.988259,0.9,-0.1,-0.997437
-0.997437,0.9,0,-0.999916
-0.999916,0.9,0.1,-0.998237
-0.998237,0.9,0.2,-0.991744
-0.991744,0.9,0.3,-0.977772
-0.977772,0.9,0.4,-0.963708
-0.963708,0.9,0.5,-0.946413
-0.946413,0.9,0.6,-0.941228
-0.941228,0.9,0.7,-0.817054
-0.817054,0.9,0.8,-0.903962
-0.903962,0.9,0.9,-0.770061
-0.770061,0,-1,-0.842334
-0.842334,0,-0.9,-0.855967
-0.855967,0,-0.8,-0.854551
-0.854551,0,-0.7,-0.85564
-0.85564,0,-0.6,-0.851676
-0.851676,0,-0.5,-0.856966
-0.856966,0,-0.4,-0.857938
-0.857938,0,-0.3,-0.858236
-0.858236,0,-0.2,-0.860343
