@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute varObjetivo numeric

@data
0,-0.8,0
0,-0.7,0
0,-0.6,0
0,-0.5,0
0,-0.4,0
0,-0.3,0
0,-0.2,0
0,-0.1,0
0,0,0
0,0.1,0.388746
0,0.2,0.432589
0,0.3,0.489362
0,0.4,0.595007
0,0.5,0.595974
0,0.6,0.728359
0,0.7,0.699232
0,0.8,0.842899
0,0.9,0.78485
0,1,0.911045
0.557262,-1,0
0.438333,-0.9,0
0.425382,-0.8,0
0.460108,-0.7,0
0.466009,-0.6,0
0.471447,-0.5,0
0.479818,-0.4,0
0.485365,-0.3,0
0.488002,-0.2,0.386671
0.491022,-0.1,0.447486
0.497155,0,0.493177
0.499898,0.1,0.53995
0.504649,0.2,0.589278
0.50904,0.3,0.639569
0.511555,0.4,0.683966
0.514634,0.5,0.714932
0.518819,0.6,0.768902
0.525102,0.7,0.854604
0.53585,0.8,0.8466
0.541263,0.9,0.953401
0.552026,1,0.907579
0.691823,-1,0
0.580997,-0.9,0
0.600049,-0.8,0
0.600538,-0.7,0
0.612513,-0.6,0
0.615292,-0.5,0.350973
0.623258,-0.4,0.385506
0.626779,-0.3,0.490418
0.631591,-0.2,0.509642
0.634685,-0.1,0.592065
0.639651,0,0.638518
0.642797,0.1,0.679878
0.647006,0.2,0.749352
0.650106,0.3,0.753324
0.652188,0.4,0.79937
0.66346,0.5,0.822699
0.660735,0.6,0.867024
0.665654,0.7,0.892752
0.671262,0.8,0.92419
0.678562,0.9,0.950936
0.68603,1,0.960077
0.811228,-1,0.383267
0.715462,-0.9,0
0.729811,-0.8,0
0.730392,-0.7,0.425184
0.740241,-0.6,0.358267
0.740898,-0.5,0.531992
0.751264,-0.4,0.49568
0.753068,-0.3,0.645449
0.758559,-0.2,0.657564
0.760755,-0.1,0.724706
0.763578,0,0.760802
0.766466,0.1,0.799127
0.769524,0.2,0.832385
0.772497,0.3,0.861359
0.774503,0.4,0.89108
0.777705,0.5,0.911993
0.77984,0.6,0.937483
0.786409,0.7,0.979759
0.793577,0.8,0.977048
0.795398,0.9,0.99883
0.808671,1,0.994441
0.897116,-1,0.39223
0.826881,-0.9,0.44873
0.836985,-0.8,0.357789
0.838934,-0.7,0.562594
0.845639,-0.6,0.514489
0.848808,-0.5,0.668412
0.854241,-0.4,0.661447
0.855608,-0.3,0.757469
0.859634,-0.2,0.764638
0.860993,-0.1,0.831455
0.863827,0,0.861634
0.866302,0.1,0.891172
0.868468,0.2,0.933467
0.870983,0.3,0.938555
0.871872,0.4,0.976465
0.876243,0.5,0.973433
0.878077,0.6,0.998772
0.883181,0.7,0.993375
0.885307,0.8,0.992757
0.892576,0.9,0.999006
0.894718,1,0.960463
0.961829,-1,0.761342
0.914489,-0.9,0.599797
0.908372,-0.8,0.638227
0.922276,-0.7,0.701802
0.913813,-0.6,0.745791
0.929181,-0.5,0.791684
0.931219,-0.4,0.828711
0.933383,-0.3,0.85866
0.935404,-0.2,0.889251
0.936724,-0.1,0.916396
0.93793,0,0.937692
0.939986,0.1,0.957086
0.941449,0.2,0.98212
0.942445,0.3,0.98237
0.944285,0.4,0.998976
0.946086,0.5,0.998165
0.948533,0.6,0.991981
0.951647,0.7,0.997901
0.952534,0.8,0.958128
0.955431,0.9,0.979002
0.956974,1,0.899418
0.994723,-1,0.826243
0.970639,-0.9,0.606533
0.97172,-0.8,0.756696
0.974404,-0.7,0.727877
0.975624,-0.6,0.848527
0.978905,-0.5,0.82585
0.979735,-0.4,0.916577
0.9815,-0.3,0.939135
0.980886,-0.2,0.957896
0.983,-0.1,0.971921
0.983853,0,0.984081
0.984662,0.1,0.992405
0.985519,0.2,0.997627
0.986387,0.3,0.999873
0.987096,0.4,0.996855
0.987873,0.5,0.992815
0.98832,0.6,0.958265
0.989191,0.7,0.974378
0.990561,0.8,0.952597
0.993788,0.9,0.946018
0.994632,1,0.908692
0.991762,-1,0.943865
0.997211,-0.9,0.838557
0.994631,-0.8,0.878035
0.998334,-0.7,0.902808
0.998768,-0.6,0.926494
0.999068,-0.5,0.949451
0.999392,-0.4,0.973723
0.999536,-0.3,0.983771
0.999589,-0.2,0.988149
0.999728,-0.1,0.997871
0.999777,0,0.999863
0.999827,0.1,0.998704
0.999837,0.2,0.988769
0.999799,0.3,0.985753
0.99959,0.4,0.948338
0.999493,0.5,0.960227
0.999417,0.6,0.891013
0.99883,0.7,0.910022
0.99873,0.8,0.802597
0.997881,0.9,0.849238
0.997674,1,0.681273
